REPORT;ACCT_NUM;NAME;OFFICER;INC_AMT;INC_TXN;OUT_AMT;OUT_TXN;TOTAL_AMT;TOTAL_TXN;RUN_DATE
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/12/2013
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/13/2013
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/14/2013
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/17/2013
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/18/2013
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/20/2013
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/21/2013
MR INC AMT % 0709;112435815;PORSCHE;201;$2,845,000.00 ;3;$0.00 ;0;$2,845,000.00 ;3;6/26/2013
MR OUT AMT % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,493,617.94 ;15;$2,493,617.94 ;15;6/14/2013
MR OUT AMT % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,633,410.52 ;16;$2,633,410.52 ;16;6/17/2013
MR OUT AMT % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,733,395.74 ;17;$2,733,395.74 ;17;6/18/2013
MR OUT AMT % 0709;112435815;PORSCHE;201;$0.00 ;0;$3,973,571.05 ;19;$3,973,571.05 ;19;6/20/2013
MR OUT AMT % 0709;112435815;PORSCHE;201;$0.00 ;0;$4,022,777.85 ;20;$4,022,777.85 ;20;6/21/2013
MR OUT AMT % 0709;112435815;PORSCHE;201;$0.00 ;0;$4,389,854.33 ;21;$4,389,854.33 ;21;6/26/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$1,753,574.50 ;9;$1,753,574.50 ;9;6/7/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,205,290.43 ;13;$2,205,290.43 ;13;6/12/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,493,617.94 ;15;$2,493,617.94 ;15;6/13/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,493,617.94 ;15;$2,493,617.94 ;15;6/14/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,633,410.52 ;16;$2,633,410.52 ;16;6/17/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$2,733,395.74 ;17;$2,733,395.74 ;17;6/18/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$3,973,571.05 ;19;$3,973,571.05 ;19;6/20/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$4,022,777.85 ;20;$4,022,777.85 ;20;6/21/2013
MR OUT TXN % 0709;112435815;PORSCHE;201;$0.00 ;0;$4,389,854.33 ;21;$4,389,854.33 ;21;6/26/2013
LR INC AMT % 0709;123654825;LEXUS;311;$36,344.00 ;1;$0.00 ;0;$36,344.00 ;1;6/7/2013
LR INC AMT % 0709;123654825;LEXUS;311;$36,344.00 ;1;$0.00 ;0;$36,344.00 ;1;6/26/2013
LR OUT AMT % 0709;123654825;LEXUS;311;$0.00 ;0;$61,276.80 ;1;$61,276.80 ;1;6/26/2013
HR PEP & NGO INC TXN % 0709;159753654;MERCEDES;208;$99,436.00 ;7;$0.00 ;0;$99,436.00 ;7;6/18/2013
HR PEP & NGO INC TXN % 0709;159753654;MERCEDES;208;$100,086.00 ;8;$0.00 ;0;$100,086.00 ;8;6/19/2013
HR PEP & NGO INC TXN % 0709;159753654;MERCEDES;208;$115,059.33 ;9;$0.00 ;0;$115,059.33 ;9;6/20/2013
HR PEP & NGO INC TXN % 0709;159753654;MERCEDES;208;$135,881.51 ;11;$0.00 ;0;$135,881.51 ;11;6/24/2013
HR PEP & NGO INC TXN % 0709;159753654;MERCEDES;208;$135,881.51 ;11;$0.00 ;0;$135,881.51 ;11;6/25/2013
HR PEP & NGO INC TXN % 0709;159753654;MERCEDES;208;$135,881.51 ;11;$0.00 ;0;$135,881.51 ;11;6/26/2013
HR PEP & NGO OUT AMT % 0709;159753654;MERCEDES;208;$0.00 ;0;$285,000.00 ;2;$285,000.00 ;2;6/26/2013
HR PEP & NGO OUT TXN % 0709;106078452;AUDI;214;$0.00 ;0;$13,816,515.69 ;44;$13,816,515.69 ;44;6/25/2013
HR PEP & NGO OUT TXN % 0709;106078452;AUDI;214;$0.00 ;0;$13,823,211.69 ;45;$13,823,211.69 ;45;6/26/2013
HR PEP & NGO OUT TXN % 0709;106078452;AUDI;214;$0.00 ;0;$16,446,938.07 ;64;$16,446,938.07 ;64;6/27/2013
OUT WT HIGH RISK COUNTRIES 8_2012;106078452;AUDI;214;$0.00 ;0;$41,129.32 ;1;$41,129.32 ;1;6/27/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$2,352,373.48 ;20;$2,352,373.48 ;20;6/17/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$2,352,373.48 ;20;$2,352,373.48 ;20;6/18/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$2,905,720.17 ;21;$2,905,720.17 ;21;6/19/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$2,905,720.17 ;21;$2,905,720.17 ;21;6/20/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$3,327,086.26 ;25;$3,327,086.26 ;25;6/21/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$3,327,086.26 ;25;$3,327,086.26 ;25;6/24/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$3,619,150.07 ;26;$3,619,150.07 ;26;6/25/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$3,671,650.07 ;28;$3,671,650.07 ;28;6/26/2013
MR OUT TXN % 0709;132567849;INFINITY;201;$0.00 ;0;$3,671,650.07 ;28;$3,671,650.07 ;28;6/27/2013
MR INC AMT % 0709;194378124;TESLA;201;$1,683,355.05 ;9;$0.00 ;0;$1,683,355.05 ;9;6/14/2013
